Max similarity: 0.550253
Total matches: 3900

score: 0.550253 | segment id: 10 | term: "Hawaiʻi Commission on National and Community Service" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.260713 | segment id: 18 | term: "west oahu" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.260574 | segment id: 10 | term: "Candidate Advisory Council" | text: "Followed by County of Hawaii Office of Housing and Community Development."
score: 0.260218 | segment id: 20 | term: "John A. Burns School of Medicine" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.259493 | segment id: 2 | term: "Hawaiʻi Commission on National and Community Service" | text: "This is the Committee on Housing, 1.25 PM hearing here in conference room 225."
score: 0.258717 | segment id: 29 | term: "Center on Nursing Advisory Board" | text: "Note that there are five HUD-certified housing counseling agencies in the state."
score: 0.257488 | segment id: 117 | term: "Board of Regents" | text: "Without others voting aye, recommendation is adopted."
score: 0.257447 | segment id: 34 | term: "Hawaiʻi Commission on National and Community Service" | text: "We'll move on to our next bill, which is HB 833, relating to community land trusts."
score: 0.257192 | segment id: 8 | term: "Candidate Advisory Council" | text: "Our first testifier is HHFDC in support."
score: 0.257192 | segment id: 36 | term: "Candidate Advisory Council" | text: "Our first testifier is HHFDC in support."
score: 0.257085 | segment id: 20 | term: "Hawaiʻi Teacher Standards Board" | text: "I am expressing this testimony as my own and does not necessarily reflect the school."
score: 0.256521 | segment id: 123 | term: "Hawaiʻi Medical Education Council" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.256119 | segment id: 94 | term: "Candidate Advisory Council" | text: "And the committee report will note HHFDC's $1.5 million request for appropriations."
score: 0.256054 | segment id: 41 | term: "Board of Regents" | text: "Okay, Chair has a question for HHFDC."
score: 0.255339 | segment id: 35 | term: "Research Corporation of the University of Hawaiʻi" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.255033 | segment id: 30 | term: "Candidate Advisory Council" | text: "We reached out to three of them, and based on our discussions, we would request that $1.5 million be appropriated."
score: 0.254828 | segment id: 24 | term: "Board of Regents" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.254436 | segment id: 28 | term: "State Departments" | text: "How much funding should be appropriated to these housing counseling agencies?"
score: 0.253689 | segment id: 108 | term: "Aloha Stadium" | text: "2A to replace the income restriction with qualified residents as defined by HRS 201H-32, also prioritizing applications requiring the lowest amount of funds per unit per year and further defecting the"
score: 0.253358 | segment id: 18 | term: "Research Corporation of the University of Hawaiʻi" | text: "It saddens me growing up on the island to see the housing crisis worsen throughout the years, and I urge the community to support House Bill 1428-HDI, and I thank you for allowing me the opportunity t"
score: 0.253226 | segment id: 102 | term: "302a-431" | text: "Senator Aquino."
score: 0.253019 | segment id: 58 | term: "304a" | text: "Any further questions?"
score: 0.252874 | segment id: 35 | term: "Education Commission of the States" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.252762 | segment id: 71 | term: "State Departments" | text: "Okay, the chair just has a question for DOTAX."
score: 0.252674 | segment id: 35 | term: "Board of Regents" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.252576 | segment id: 21 | term: "Research Corporation of the University of Hawaiʻi" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.252415 | segment id: 97 | term: "Hawaiʻi Teacher Standards Board" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.252280 | segment id: 53 | term: "304a" | text: "Okay."
score: 0.252280 | segment id: 76 | term: "304a" | text: "Okay."
score: 0.252280 | segment id: 87 | term: "304a" | text: "Okay."
score: 0.251935 | segment id: 7 | term: "Candidate Advisory Council" | text: "It requires a report to the legislature."
score: 0.251866 | segment id: 19 | term: "Center on Nursing Advisory Board" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.251841 | segment id: 19 | term: "university" | text: "thank you next we have janae wong in support aloha chair chain vice chair um my name is janae and i'm a graduate student at the university of hawaii at manoa"
score: 0.251835 | segment id: 24 | term: "Candidate Advisory Council" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.251768 | segment id: 24 | term: "State Departments" | text: "Is there anyone else wishing to testify on HB 1428?"
score: 0.251738 | segment id: 35 | term: "Western Interstate Commission for Higher Education" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.251189 | segment id: 29 | term: "Post-Secondary Education Commission" | text: "Note that there are five HUD-certified housing counseling agencies in the state."
score: 0.251172 | segment id: 35 | term: "Candidate Advisory Council" | text: "It authorizes HHFDC to establish a five-year community land trust equity pilot program to provide community land trusts with a line of credit to fund the acquisition, rehabilitation, renovation, or co"
score: 0.251112 | segment id: 111 | term: "Education Commission of the States" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.251057 | segment id: 14 | term: "Hawaiʻi Teacher Standards Board" | text: "My name is A. Jason Warren, a graduate student at the University of Hawaii Manoa, pursuing my master's in social work."
score: 0.251036 | segment id: 105 | term: "Education Commission of the States" | text: "Chair recommendation is adopted."
score: 0.250957 | segment id: 111 | term: "Hawaiʻi Medical Education Council" | text: "If not, HB 833, Chair's recommendation is to pass with amendments."
score: 0.250891 | segment id: 21 | term: "Post-Secondary Education Commission" | text: "I am testifying in support of HB 1428, HD1, and I believe our community can benefit from financial education, one-on-one guidance counseling, and effective interventions that support them to remain ho"
score: 0.250854 | segment id: 115 | term: "Center on Nursing Advisory Board" | text: "Any members voting with reservations?"
score: 0.250854 | segment id: 125 | term: "Center on Nursing Advisory Board" | text: "Any members voting with reservations?"
score: 0.250191 | segment id: 97 | term: "Board of Regents" | text: "Okay, if not, again, for HB 1428, chair's recommendation is to pass with amendments."
score: 0.250160 | segment id: 127 | term: "Board of Regents" | text: "Without others voting aye, recommendation's adopted."
score: 0.250130 | segment id: 98 | term: "Board of Regents" | text: "Chair votes aye."
score: 0.250130 | segment id: 100 | term: "Board of Regents" | text: "Chair votes aye."
score: 0.250130 | segment id: 112 | term: "Board of Regents" | text: "Chair votes aye."
score: 0.250130 | segment id: 114 | term: "Board of Regents" | text: "Chair votes aye."
score: 0.250130 | segment id: 122 | term: "Board of Regents" | text: "Chair votes aye."
score: 0.250130 | segment id: 124 | term: "Board of Regents" | text: "Chair votes aye."
score: 0.249989 | segment id: 88 | term: "Hawaiʻi Institute of Marine Biology" | text: "We'd also like to welcome Senator Kanuha."
score: 0.249948 | segment id: 123 | term: "Center on Nursing Advisory Board" | text: "Members, HB 286, Chair's recommendation is to pass with amendments."
score: 0.249543 | segment id: 69 | term: "State Departments" | text: "Is there anyone else wishing to testify on HB 286?"
score: 0.249455 | segment id: 0 | term: "304a" | text: "Good afternoon."
score: 0.249455 | segment id: 12 | term: "304a" | text: "Good afternoon."
